Genus_&_Specie,Time,Location,Zone,Current_Country,Habitat,Cranial_Capacity,Height,Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton
"Homo Neanderthalensis
",0.8620003,Europa,central,Germany,cold forest,1013.15696,151.70529,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
hominino Orrorin tugenencin,6.20135246,Africa,oriental,Kenya,forest,152.1326,122.72136,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Heidelbergensis,0.89163724,Europa,central,Germany,cold forest,1394.36828,172.21316,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Sapiens,0.33766568,Africa,oriental,Kenya,savannah,1293.04672,176.30292,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Sapiens,0.50193568,Africa,oriental,Kenya,savannah,1151.52644,177.6606,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Garhi,2.84973343,Africa,oriental,Ethiopia,mixed,366.51396,112.98719,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Floresiensis,0.81677602,Asia ,oriental,Indonesia,peninsular,249.40793,94.90718,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
hominino Orrorin tugenencin,6.3745141,Africa,oriental,Kenya,forest,85.8148,127.53023,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Erectus,1.43278413,Asia ,west,Indonesia,savannah,1067.91307,155.55846,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Erectus,1.52070748,Asia ,west,Indonesia,savannah,1035.42837,152.68528,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Bahrelghazali,3.93370049,Africa,central,Republic of Chad,mixed,234.6939,122.7334,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Homo Rudolfensis,3.15808033,Africa,oriental,Kenya,savannah,567.06534,130.99955,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined
"Homo Neanderthalensis
",0.3343413,Europa,central,Germany,cold forest,1170.54763,150.19274,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Ergaster,1.402732,Africa,oriental,Kenya,savannah,924.91206,166.58638,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Erectus,1.15083179,Asia ,west,Indonesia,savannah,1023.37005,152.87807,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Sapiens,0.04655932,Africa,oriental,Kenya,savannah,1213.54694,160.20508,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Homo Georgicus,1.95395179,Asia ,west,Georgia,savannah,607.92918,140.6208,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Anamensis,4.07904541,Africa,oriental,Kenya,forest-gallery,300.51309,116.81587,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
hominino Sahelanthropus tchadensis,6.87755445,Africa,central,Republic of Chad,mixed,66.54155,97.59587,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Habilis,2.65794322,Africa,oriental,Ethiopia,savannah,866.4927,121.2916,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Australopithecus Bahrelghazali,3.6645666,Africa,central,Republic of Chad,mixed,350.71835,129.38286,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Paranthropus Robustus,2.54234083,Africa,south,South Africa,jungle,520.32791,111.24274,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Paranthropus Robustus,2.18415224,Africa,south,South Africa,jungle,579.7801,125.28739,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rodhesiensis,0.77653324,Africa,oriental,Ethiopia,savannah,950.9014,153.03939,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Heidelbergensis,1.0893628,Europa,central,Germany,cold forest,1328.07545,165.21595,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Heidelbergensis,0.32455877,Europa,central,Germany,cold forest,1432.55403,180.94226,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Naledi,0.74618334,Africa,south,South Africa,jungle,481.8567,126.74539,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Erectus,1.87876476,Asia ,west,Indonesia,savannah,1157.2369,157.68598,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Floresiensis,0.16043407,Asia ,oriental,Indonesia,peninsular,278.03827,98.33667,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Rodhesiensis,0.9561709,Africa,oriental,Ethiopia,savannah,1147.79197,145.11971,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Australopithecus Garhi,2.73975552,Africa,oriental,Ethiopia,mixed,493.80804,119.40555,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
"Homo Neanderthalensis
",0.2195329,Europa,central,Germany,cold forest,1120.40768,152.14608,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Afarensis,3.82645965,Africa,oriental,Kenya,mixed,255.19969,121.68085,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined
Homo Antecesor,1.66515924,Europa,west,Spain,savannah,1022.38267,175.30819,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Ergaster,1.6979599,Africa,oriental,Kenya,savannah,780.04915,159.67092,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Sapiens,0.56787484,Africa,oriental,Kenya,savannah,1193.05411,161.27972,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
Australopithecus Sediba,2.53439654,Africa,south,South Africa,mixed,490.15481,117.9316,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
Homo Georgicus,1.81282901,Asia ,west,Georgia,savannah,760.60928,144.45929,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Anamensis,4.08343374,Africa,oriental,Kenya,forest-gallery,499.69599,129.3932,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
hominino Ardipithecus ramidus / kabadda,4.22324083,Africa,oriental,Ethiopia,mixed,233.29662,105.00441,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light
Homo Floresiensis,0.49800806,Asia ,oriental,Indonesia,peninsular,348.84915,96.88503,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Paranthropus Robustus,1.9751946,Africa,south,South Africa,jungle,533.85245,112.70488,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Australopithecus Bahrelghazali,4.17122358,Africa,central,Republic of Chad,mixed,363.69713,114.25486,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light
Australopithecus Garhi,2.91562937,Africa,oriental,Ethiopia,mixed,453.33371,124.59688,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Georgicus,1.56788078,Asia ,west,Georgia,savannah,635.49549,140.84994,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Homo Georgicus,2.46284731,Asia ,west,Georgia,savannah,589.46706,155.13608,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Africanus,3.37445049,Africa,south,South Africa,forest-gallery,544.14553,106.47597,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Naledi,0.18328531,Africa,south,South Africa,jungle,461.36466,122.51682,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Naledi,0.18488366,Africa,south,South Africa,jungle,323.03158,127.49591,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Homo Antecesor,1.29666714,Europa,west,Spain,savannah,909.2094,160.47846,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light
Homo Erectus,1.79983662,Asia ,west,Indonesia,savannah,1025.0466,154.99418,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust
Australopithecus Anamensis,4.35770505,Africa,oriental,Kenya,forest-gallery,395.1528,114.87036,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light
Homo Naledi,0.1572141,Africa,south,South Africa,jungle,307.23222,120.1323,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light
Australopithecus Garhi,2.62185869,Africa,oriental,Ethiopia,mixed,320.01679,129.03307,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light
Homo Habilis,2.24942666,Africa,oriental,Ethiopia,savannah,698.31186,129.59215,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Rodhesiensis,0.35705042,Africa,oriental,Ethiopia,savannah,1192.52762,146.0623,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Habilis,2.61882417,Africa,oriental,Ethiopia,savannah,852.9977,128.86089,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Paranthropus Boisei,2.72869235,Africa,oriental,Ethiopia,forest,501.53093,115.6089,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust
Homo Rodhesiensis,0.53148353,Africa,oriental,Ethiopia,savannah,1041.57824,145.38637,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust
Homo Habilis,2.91834433,Africa,oriental,Ethiopia,savannah,757.64078,137.96124,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Heidelbergensis,0.77641447,Europa,central,Germany,cold forest,1443.73962,183.34399,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Australopithecus Africanus,3.3986101,Africa,south,South Africa,forest-gallery,628.18487,117.91951,small,conical,very protruding,medium-high,anterior,small,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,yes,old,no,light
Homo Habilis,2.77592891,Africa,oriental,Ethiopia,savannah,804.21437,124.05416,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Homo Sapiens,0.50954147,Africa,oriental,Kenya,savannah,1121.56558,177.19258,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined
"Homo Neanderthalensis
",0.79526407,Europa,central,Germany,cold forest,1050.77435,157.83631,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
Homo Habilis,2.79053237,Africa,oriental,Ethiopia,savannah,713.21018,128.54659,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust
Australopithecus Sediba,2.32904003,Africa,south,South Africa,mixed,474.50453,103.70604,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light
hominino Sahelanthropus tchadensis,7.46890212,Africa,central,Republic of Chad,mixed,168.72429,95.99019,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light
Homo Heidelbergensis,0.84233207,Europa,central,Germany,cold forest,1321.26671,174.39543,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust
